iter	Passed	Remaining
0	164	164504
1	167	83791
2	171	56829
3	174	43363
4	176	35203
5	179	29737
6	182	25844
7	184	22906
8	187	20601
9	189	18764
10	191	17258
11	194	15996
12	197	14959
13	199	14055
14	201	13261
15	204	12564
16	206	11944
17	208	11392
18	210	10880
19	212	10395
20	213	9958
21	215	9560
22	216	9196
23	217	8861
24	219	8553
25	220	8269
26	222	8005
27	223	7759
28	225	7539
29	226	7327
30	228	7127
31	229	6940
32	230	6764
33	232	6598
34	233	6442
35	235	6294
36	236	6155
37	238	6026
38	239	5900
39	240	5778
40	242	5663
41	243	5554
42	244	5451
43	246	5351
44	247	5256
45	249	5164
46	250	5076
47	251	4992
48	253	4913
49	254	4836
50	255	4762
51	257	4691
52	258	4623
53	260	4556
54	261	4493
55	262	4432
56	264	4372
57	265	4313
58	266	4258
59	268	4203
60	269	4154
61	271	4103
62	272	4054
63	274	4007
64	275	3961
65	276	3916
66	278	3872
67	279	3829
68	280	3788
69	282	3748
70	283	3708
71	285	3674
72	286	3639
73	288	3608
74	289	3574
75	291	3542
76	293	3514
77	294	3486
78	296	3456
79	298	3429
80	299	3402
81	301	3373
82	302	3337
83	303	3310
84	305	3283
85	306	3259
86	308	3234
87	309	3211
88	311	3187
89	313	3165
90	314	3144
91	316	3123
92	318	3103
93	319	3081
94	321	3058
95	322	3040
96	324	3019
97	325	2997
98	326	2975
99	328	2954
100	329	2934
101	331	2914
102	332	2895
103	333	2875
104	335	2856
105	336	2837
106	337	2820
107	339	2802
108	340	2785
109	342	2770
110	344	2756
111	345	2741
112	347	2730
113	349	2715
114	350	2700
115	352	2686
116	354	2673
117	359	2688
118	362	2685
119	364	2670
120	365	2655
121	366	2638
122	368	2624
123	370	2614
124	372	2607
125	374	2601
126	376	2587
127	377	2573
128	379	2560
129	380	2546
130	381	2533
131	383	2519
132	385	2516
133	388	2508
134	390	2500
135	391	2487
136	392	2475
137	394	2462
138	395	2452
139	397	2443
140	400	2439
141	401	2427
142	404	2424
143	405	2413
144	407	2401
